,Price,Open,High,Low,Vol.,Change %
2015-01-02,1186.2,1184.0,1194.9,1167.3,120.68,0.0018
2015-01-03,1186.2,1184.0,1194.9,1167.3,120.68,0.0018
2015-01-04,1186.2,1184.0,1194.9,1167.3,120.68,0.0018
2015-01-05,1204.0,1187.8,1207.5,1177.8,149.11,0.015
2015-01-06,1219.4,1204.0,1223.3,1201.6,190.36,0.0128
2015-01-07,1210.7,1219.0,1219.4,1209.1,117.09,-0.0070999999999999995
2015-01-08,1208.5,1211.0,1216.8,1204.2,122.49,-0.0018
2015-01-09,1216.1,1208.9,1224.0,1207.0,155.98,0.0063
2015-01-10,1216.1,1208.9,1224.0,1207.0,155.98,0.0063
2015-01-11,1216.1,1208.9,1224.0,1207.0,155.98,0.0063
2015-01-12,1232.8,1223.0,1236.0,1217.5,138.52,0.0137
2015-01-13,1234.4,1233.1,1244.5,1227.4,179.65,0.0013
2015-01-14,1234.5,1231.2,1244.6,1224.9,193.11,0.0001
2015-01-15,1264.8,1229.7,1267.2,1226.1,288.79,0.0245
2015-01-16,1276.9,1263.5,1282.4,1255.2,219.41,0.0096
2015-01-17,1276.9,1263.5,1282.4,1255.2,219.41,0.0096
2015-01-18,1276.9,1263.5,1282.4,1255.2,219.41,0.0096
2015-01-19,1294.2,1280.7,1297.2,1272.1,249.78,0.013500000000000002
2015-01-20,1294.2,1280.7,1297.2,1272.1,249.78,0.013500000000000002
2015-01-21,1293.7,1295.3,1307.0,1284.6,210.39,-0.0004
2015-01-22,1300.7,1293.7,1307.8,1279.1,214.91,0.0054
2015-01-23,1292.6,1301.5,1302.9,1284.3,149.21,-0.0062
2015-01-24,1292.6,1301.5,1302.9,1284.3,149.21,-0.0062
2015-01-25,1292.6,1301.5,1302.9,1284.3,149.21,-0.0062
2015-01-26,1279.4,1292.8,1299.2,1275.6,168.89,-0.0102
2015-01-27,1291.7,1280.7,1297.4,1272.0,186.95,0.0096
2015-01-28,1285.9,1292.0,1293.3,1279.0,180.39,-0.0045000000000000005
2015-01-29,1255.9,1284.0,1286.6,1252.1,243.65,-0.0233
2015-01-30,1279.2,1259.0,1285.4,1257.5,163.88,0.018600000000000002
2015-01-31,1279.2,1259.0,1285.4,1257.5,163.88,0.018600000000000002
2015-02-01,1279.2,1259.0,1285.4,1257.5,163.88,0.018600000000000002
2015-02-02,1276.9,1283.0,1283.9,1266.5,119.88,-0.0018
2015-02-03,1260.3,1275.6,1286.5,1255.8,181.99,-0.013000000000000001
2015-02-04,1264.5,1261.5,1273.3,1256.9,136.18,0.0033
2015-02-05,1262.7,1270.4,1274.6,1256.1,113.83,-0.0014000000000000002
2015-02-06,1234.6,1266.4,1269.0,1228.2,205.1,-0.0223
2015-02-07,1234.6,1266.4,1269.0,1228.2,205.1,-0.0223
2015-02-08,1234.6,1266.4,1269.0,1228.2,205.1,-0.0223
2015-02-09,1241.5,1235.9,1243.6,1234.4,92.65,0.005600000000000001
2015-02-10,1232.2,1238.3,1245.9,1230.6,97.14,-0.0075
2015-02-11,1219.6,1234.1,1238.7,1216.5,116.28,-0.0102
2015-02-12,1220.7,1218.3,1232.8,1218.0,109.41,0.0009
2015-02-13,1227.1,1223.0,1234.9,1222.5,96.37,0.0052
2015-02-14,1227.1,1223.0,1234.9,1222.5,96.37,0.0052
2015-02-15,1227.1,1223.0,1234.9,1222.5,96.37,0.0052
2015-02-16,1208.6,1227.5,1236.7,1203.3,181.84,-0.0151
2015-02-17,1208.6,1227.5,1236.7,1203.3,181.84,-0.0151
2015-02-18,1200.2,1209.3,1213.4,1197.2,121.13,-0.006999999999999999
2015-02-19,1207.6,1212.5,1222.9,1205.2,115.72,0.0062
2015-02-20,1204.9,1208.0,1215.3,1197.7,109.25,-0.0022
2015-02-21,1204.9,1208.0,1215.3,1197.7,109.25,-0.0022
2015-02-22,1204.9,1208.0,1215.3,1197.7,109.25,-0.0022
2015-02-23,1200.8,1203.5,1210.3,1190.6,115.22,-0.0034000000000000002
2015-02-24,1197.3,1201.9,1204.4,1190.0,116.61,-0.0029
2015-02-25,1201.5,1200.8,1211.7,1200.7,106.08,0.0034999999999999996
2015-02-26,1210.1,1203.9,1219.9,1203.4,137.28,0.0072
2015-02-27,1213.1,1208.8,1219.2,1204.1,113.77,0.0025
2015-02-28,1213.1,1208.8,1219.2,1204.1,113.77,0.0025
2015-03-01,1213.1,1208.8,1219.2,1204.1,113.77,0.0025
2015-03-02,1208.2,1213.8,1223.0,1204.2,133.1,-0.004
